tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550467300088766464,GregsHealth,1420076606,"World’s 400 Richest People Add $92-B In 2014: World’s 400 Richest People Add $92-B In 2014 $AMZN, $BABA, $BX, ... http://tinyurl.com/ne9rgyc",0,0,0
550467302135582720,ShayneHeffernan,1420076606,"World’s 400 Richest People Add $92-B In 2014: World’s 400 Richest People Add $92-B In 2014 $AMZN, $BABA, $BX, ... http://bit.ly/1zylvGK",0,0,0
550467938017218560,BreakoutStocks,1420076758,What usually happens after Apple $AAPL breaks out? http://topbreakoutstocks.com/aapl,0,0,0
550467962071973889,caroltheva,1420076764,Free Iron condor setup course http://bit.ly/IronCond $CMG $TSLA $BIDU,0,0,0
550468859879505921,UnderGradStocks,1420076978,@CNNMoney I like $MSFT with him in charge. He seems to encourage change and innovation which the company struggled with in the past,0,0,0
550469294166134784,optionsangre,1420077081,top trades (my acct) 2014 - $PCYC $NFLX $FB $TSLA $CNQR - CNQR RIP,0,0,2
550469761390641152,caroltheva,1420077193,Understanding margins in Options http://bit.ly/MargSpre $CMG $TSLA $BIDU,0,0,0
550469965351227393,SkanndTyagi,1420077241,ForbesTech : 3D Systems and Amazon are set for stock rebounds in 2015: http://onforb.es/1wBqtAB $DDD $AMZN (http:...,0,0,0
550470796737798146,JaredLeClaire15,1420077439,Added some $AAPL today via selling put spreads.  Used part of the proceeds to buy some call spreads.  Can you tell I'm bullish?,0,0,0
550471417754845184,SentiQuant,1420077587,#SENTISHIFTUP $X $T $GOOGL $AMRN $UPIP $CNAT $GDX $DAX $CEMP $RXII #sentiquant 20141231 21:00:02:985,0,0,0
550471631034806273,RajeshThakur76,1420077638,"World’s 400 Richest People Add $92-B In 2014: World’s 400 Richest People Add $92-B In 2014 $AMZN, $BABA, $BX, ... http://bit.ly/1vvrZ76",0,0,0
550471634742542336,JohnStig2,1420077639,"World’s 400 Richest People Add $92-B In 2014: World’s 400 Richest People Add $92-B In 2014 $AMZN, $BABA, $BX, ... http://bit.ly/1vvrZ76",0,0,0
550471737629229056,Market_Screener,1420077664,#Apple : MacXDVD Gives Away MacX iPhone DVD Ripper as 2015 New Year Gift http://4-traders.com/APPLE-INC-4849/news/Apple--MacXDVD-Gives-Away-MacX-iPhone-DVD-Ripper-as-2015-New-Year-Gift-19608696/… $AAPL,0,0,0
550472066000887808,Tech_Terrorist,1420077742,3D Systems and Amazon are set for stock rebounds in 2015: http://onforb.es/1wBqtAB $DDD $AMZN | http://technoterrorist.com/?p=4518 #TechnoTerrorist,0,0,0
550473735606501376,BargainTrapper,1420078140,http://goo.gl/efUF0i  <--- Amazing subscriber to Super_Trades - check out his profit chart!! $TVIX $BDR $AAPL $GOOG $FB $TSLA,0,0,0
550473769852997632,caroltheva,1420078148,How to put a continuous Iron condor trade http://bit.ly/AdvIronCo $AAPL $GOOGL $PCLN,0,0,0
550474585783947267,jbaksht,1420078343,Amazon Chief Bezos Lost $7.4 Billion in Company’s Worst Year Since 2008. http://on.wsj.com/1xw4v98 $AMZN @amazon #PlayingTheLongGame @WSJ,0,0,1
550474898347290625,TweakTown,1420078417,H4LT group releases @Microsoft @Xbox One SDK online #infosec $MSFT http://tweaktown.to/1zSvw70,0,2,2
550475305602007040,InvestWall,1420078514,"Facebook, Apple, And Microsoft ganging up on Google - Business Insider http://ow.ly/GDeSt $FB, $AAPL, $GOOG, $MSFT #InvestWall",0,1,0
550475898676199424,Flower_Power_67,1420078656,"$AAPL has traded down the last two Januarys.— Colin Gillis, Fast Money#TradersEdge",0,0,0
550477679351570433,WeinsteinSA1,1420079080,RT @RobertWeinstein: Options Investor Newsletter Issue 137 http://stocksaints.com/newsletter/12886/options_investor_newsletter_issue_137… $USO $AMZN $TSLA $EXC $ALL $DVA,0,0,0
550478038920867840,StocksThatDoubl,1420079166,See the latest stock $PROFITS that my subscribers are making http://biloselhi.com/testimonials.html…. Join today! $GOOG $BAC $CVX $CSCO $BABA,0,1,1
550478771565113344,caroltheva,1420079341,Do you understand Option Greeks well http://bit.ly/OptGreek $NFLX $PCLN $TSLA,0,0,0
